address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,﻿job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required,matched_score
,,"['API', 'Approach', 'ATL', 'audio', 'backup', 'broadcast', 'C++', 'CLI', 'com', 'CA', 'Hardware', 'concept', 'Content', 'clients', 'documentation', 'dynamic HTML5', 'editing', 'XML', 'FTP', 'functional', 'drawing', 'GUI', 'http', 'IDs', 'Innovation', 'explorer', 'IP', 'JavaScript', 'json', 'LAN', 'MB', 'C#', 'MFC', 'office', 'Win', 'Windows', '2000', 'migration', 'NAS', 'OOP', 'page', 'Proxy', 'rendering', 'SAN', 'Scrum', 'servers', 'specification', 'team management', 'threads', 'troubleshoot', 'Video', 'Video Editing', 'Visual C++', 'workflow', 'writer']","['Illinois Institute of Technology', 'National Institute of Technology']","['M.S', 'B.E']","['N/A', 'N/A']","['N/A', 'N/A']","['N/A', 'N/A']","['Computer Science', 'Electronics and Communication Engineering']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['September 2009', 'November 2005', 'August 1997', 'August 1994']","['Current', 'August 2009', 'October 2005', 'July 1997']","[['Visual C++', 'Windows', 'STL', 'OOP', 'MFC', 'threads', 'file maps', 'ATL', 'IPC', 'FTP', 'TCP', 'HTTP', 'XML', 'JSON', 'services', 'web services', 'REST API', 'SOA', 'media formats and standards', 'codec SDK and integration', 'MPEG-DASH', 'API design and documentation'], ['team management', 'development process document', 'peer code review', 'crash dump analysis'], ['C++', 'Win32', 'threads', 'GUI'], ['Project media management tools', 'Render Bank', 'video effects']]","['Software Engineering Manager', 'Software Engineering Manager', 'Principal Software Engineer', 'Software Engineer']","['City , State', 'City , State', 'City , State', 'City , State']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,,,,,,,,,,,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,0.85
,,"['Machine Learning', 'Method Development', 'Artificial Intelligence', 'Data Modeling', 'Data Visualization', 'Data Validation', 'Deep Learning', 'MySQL', 'MongoDB', 'Python', 'Plotly', 'Seaborn', 'Matplotlib']",['CDAC ACTS'],['B.Tech'],['2020'],['N/A'],['N/A'],['Electronics and Telecommunication'],['BlueM Solutions'],[None],['Jun 2020'],['till date'],"[['Machine Learning', 'Python']]",['Associate Software Engineer and Analyst'],['N/A'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,,,,,,['AWS'],[None],[None],['N/A'],[None],AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.75
,I want to join a role where I can experiment and learn with new types of data and increase my ability to build more complex models in the future.,"['Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Software Engineering', 'Python', 'Java', 'SAP', 'C', 'C++', 'Jenkins', 'Kubernetes', 'Docker', 'Backend']",['Jawaharlal Nehru University'],['B.Tech'],['2019'],[None],[None],['Civil'],['Accenture'],[None],['Jan 2019'],['Jan 2020'],"[['SAP', 'Data Loading', 'Configuration', 'User Stories']]",['Application Development Associate'],[None],"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",[None],['Google Cloud Platform'],[None],['AI on the cloud'],,,,,,,,HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,Age 18 to 30 years,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",Human Resource Management,0.383333333
,"Computer Science graduate with 2+ years of experience in systems management, information technology, and data administration. Demonstrated exceptional knowledge in all phases of multiple framework application infrastructures, development, technical process improvement, and system integration.","['C++', 'Python', '.Ney(VB, ASP)', 'CSS', 'Javascript', 'Visual Basic', 'Visual FoxPro', 'Analytical Process Improvement', 'Risk Assessment & Tracking', 'Data & Network Management', 'Scrum & Agile']",['New York University'],['Bachelor of Science'],['2017'],['N/A'],['N/A'],['Computer Science'],"['Beckman Coulter', 'BlueOcean Biomedical', 'MathWorks']","['N/A', 'N/A', 'N/A']","['2/2019', '1/2018', '5/2016']","['6/2020', '1/2019', '8/2016']","[None, None, None]","['Information Systems Assistant', 'IT Associate', 'Web Developer Intern']","['N/A', 'N/A', 'N/A']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,,,,,,,,,,,DevOps Engineer,Bachelor/Honors,At least 3 years,,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability","Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",0.85
,,"['Operations management', 'Change management', 'Inventory control', 'Policy/program development', 'Supervision and training', 'Sound judgment', 'Computersavvy', 'Calm under pressure', 'Complex problem solving', 'Motivational', 'Continuous Improvement', 'Out of the box thinking', 'Analytical and logical', 'Strong Leadership skills', 'Lean Manufacturing and Management', 'Six Sigma tools and methodologies', 'RCM', 'FMEA', 'DMAIC', 'PFD', 'Six Sigma Certified', 'Microsoft Office 2003-2011', 'Microsoft Visio, 2008-2010', 'Business Objects', 'SAP', 'Apple Lion', 'Pages', 'Keynote', 'Numbers', 'Microsoft Access 2010', 'Visual Studio 2008-2010', 'Microsoft Project', 'Netbeans', 'TextPad', 'SQL Server 2008', 'PowerSteering', 'Tango', 'HTML', 'Css', 'Java', 'Java Script', 'C++', 'VB.NET', 'ASP.NET', 'Web Design 1', 'Web Design 2', 'Algorithms', 'Software Engineering', 'VB.NET', 'ASP.NET', 'Apple', 'Budget Management', 'Business Objects', 'C++', 'Calculator', 'Coach', 'interpersonal skills', 'Continuous Improvement', 'Css', 'client', 'customer relations', 'customer service', 'documentation', 'Facilities Management', 'Financial Reporting', 'GUI', 'HTML', 'Human Resource Management', 'HR', 'Inventory', 'inventory levels', 'Inventory Control', 'Java', 'Java 1', 'Java 2', 'Java Script', 'Leadership skills', 'Lean Manufacturing', 'managing', 'manufacturing process', 'materials', 'Microsoft Access', 'Microsoft Office', 'Microsoft Project', 'Microsoft Visio', 'Works', 'personnel', 'policies', 'problem-solving skills', 'processes', 'project management', 'Purchasing', 'quality', 'maintain records', 're-engineering', 'repairs', 'reporting', 'safety', 'SAP', 'Six Sigma', 'Software Engineering', 'software training', 'SQL Server', 'supervision', 'supply chain', 'supply chain management', 'Tango', 'user support', 'Visual Studio', 'water treatment', 'Web Design 1', 'Web Design 2', 'websites']","['McFord University', 'McFord University', 'University Of Phoenix College']","['B.S', 'M.S', 'B.S.I.T']","['2005', '2010', '2012']","['3.6', '3.7', '3.7']","[None, None, None]","['Mechanical Engineering', 'Electrical Engineering', 'Software Engineering']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['July 2013', 'September 2012', 'November 1981']","['January 2016', 'July 2013', 'October 2011']","[['Engineering processes', 'Software utilization', 'Technical resource', 'Supply chain', 'Six Sigma', 'Lean manufacturing', 'Reliability engineering', 'Plant operations', 'Cost savings', 'Preventive maintenance', 'Supplier management'], ['Client management', 'Purchasing', 'Inventory Control', 'Human Resource Management', 'IT', 'Productivity', 'Facilities Management', 'Safety'], ['Interpersonal skills', 'Team orientation', 'Union and Non-Union work environment', 'Analytical skills', 'Technical skills', 'Problem-solving skills', 'Leadership', 'Lean work environment']]","['Corporate Process/Systems Engineering Manager', 'SDI Site Operations Manager', 'Operations Group Manager']","['City, State', 'City, State', 'City, State']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",['Volunteering'],['Red Cross'],[None],['Volunteer'],,,,,,,,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",0.85
,,"['Data Analytics', 'Natural Language Processing', 'Production Engineering', 'Production Analytics', 'Tableau', 'Machine Learning', 'Python', 'NLTK']",['SMV Institute of Technology'],['B.Tech'],['2019'],['N/A'],['N/A'],['Electrical and Electronics'],['Mahindra Ltd'],['N/A'],['2019'],['TILL DATE'],"[['Data Analytics', 'Production Engineering', 'Machine Learning']]",['Assistant Analyst'],['N/A'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",['Course'],['Google'],['N/A'],['Beginner'],,,,,,,,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.65
"10 King's College Road, Rm. 3302 Toronto, Ontario, M5S 3G4 Canada",,"['Python', 'Java', 'Julia', 'R', 'Matlab', 'Unix Shell Scripting (bash)', 'Linux', 'Mac OSX', 'Windows', 'LATEX', 'Weka']","['University of Toronto', 'University of Toronto', 'University of Pittsburgh']","['PhD', 'M.S.', 'B.S.']","['2017', '2013', '2010']","['3.83', '3.93', '3.73']","['GPA', 'GPA', 'GPA']","['Computer Science', 'Computer Science', 'Computer Science and Mathematics']","['Microsoft Research', 'University of Toronto, Department of Computer Science', 'University of Pittsburgh Department of Computer Science', 'University of Pittsburgh Department of Computer Science', 'Information Sciences Institute, University of Southern California']","[None, None, None, None, None]","['May 2016', 'August 2011', 'April 2008', 'September 2010', 'June 2010']","['August 2016', 'Present', 'May 2011', 'December 2010', 'August 2010']","[None, None, None, None, None]","['Research Intern', 'Research Assistant', 'Research Assistant', 'Directed Study', 'Research Assistant, DREU Program']","[None, None, None, None, None]","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,,,,,,,,,,,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,0.85
,I am an assistant software engineer working on cloud-based solutions. After working on a couple of Machine Learning application evaluations and deployment I got really engrossed into the domain and would like to work more towards improving myself.,"['Machine Learning Engineer', 'C++', 'Technical Documentation', 'Natural Language Processing', 'SQL', 'Tableau', 'Python', 'AWS', 'Azure', 'SAP', 'OracleDB', 'Heroku']","['KLE College of Engineering, Belagavi']",['B.Tech'],['2018'],['N/A'],['N/A'],['Telecommunication'],['VoyaGenius Labs'],['N/A'],['Dec 2018'],['Ongoing'],"[['Machine Learning', 'Geocoding']]",['Software Developer (ML)'],['N/A'],"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,,,,,,,,,,,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","Cisco
Linux
Operation & Maintenance of Server",0.75
,Post Graduate Analyst experienced in Business Management and Statistical Analysis. I have a very good grasp on finding the best solution for a business and applying them.,"['Data Analysis', 'Business Analysis', 'Statistical Analysis', 'Regression Analysis', 'Natural Language Processing', 'Machine Learning', 'Numerical Analysis']","['IISc', 'IIIT Bangalore']","['BSc', 'MSc']","['2018', '2020']","['N/A', 'N/A']","['N/A', 'N/A']","['Statistics', 'Data Analysis and Statistical Computation']",['BVB'],['N/A'],['Jan 2020'],['Oct 2020'],"[['NLP', 'ML', 'Amazon Comprehend Medical API']]",['Statistical Analyst'],['N/A'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,,,,,,['Tableau'],[['Natural Learning Processing']],['N/A'],['2020'],['N/A'],AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.816666667
,I am Data science enthusiast focused on solving complex problems using machine learning techniques. I try to simplify problems and attack them head on. Always working and striving to be better solution finder.,"['Data Scientist', 'Machine Learning', 'Python', 'Big Data', 'SQL', 'PySpark', 'Scala', 'Hive', 'Scikit Learn', 'Pandas', 'Matplotlib', 'Natural Language Processing', 'Transformers', 'BERT']","['LPU, Chandigarh']",['B.tech'],['2019'],['N/A'],['N/A'],['ECE'],['NeuraTech'],['N/A'],['Mar 2019'],['till date'],[['BERT']],['Developer'],['N/A'],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",['Specialization'],['Deep learning'],[None],[None],,,,,,,,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",VAT and Tax,0.623333333
"City, State Zip Code",,"['CPR & First Aid Certified', 'Proficient in Microsoft Word', 'Basic knowledge of Microsoft PowerPoint and Excel']",['Southeastern Louisiana University'],['Bachelor of Science'],['2025'],['3.1'],['GPA'],['Biological Sciences'],"['SLU Food Services', 'Self-Employed']","[None, None]","['August 2020', 'August 2019']","['March 2021', 'June 2020']","[['Communication', 'Safety', 'Management'], ['Safety', 'Organizational', 'Educational Support']]","['Dining Room Attendant', 'Babysitter']","['Hammond, LA', 'Covington, LA']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","['Student Athlete', 'Volleyball Representative', 'Basketball Camp Coach/Coordinator']","['Volleyball Team, Southeastern Louisiana University', 'Student-Athlete Advisory Committee, Southeastern Louisiana University', 'Parks and Recreation, Hammond, LA']","[None, None, None]","['Your Role/Position', None, None]",,,[None],[['CPR & First Aid']],[None],[None],[None],Data Engineer,Bachelor of Science (BSc),5 to 8 years,,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",0.716666667
,,"['accounts receivable', 'AIA', 'bank reconciliation', 'billing', 'billings', 'budgets', 'daily cash receipts', 'cash flow', 'Consultant', 'Contracts', 'Controller', 'clients', 'financial', 'financial reports', 'financial statements', 'Forms', 'General Ledger', 'general ledger accounts', 'Government', 'insurance', 'meetings', 'excel', 'Microsoft office applications', 'office', 'PowerPoint', 'Pivot tables', 'presentations', 'Prime', 'progress', 'proposals', 'Express', 'reporting', 'spreadsheet', 'tax', 'Timberline']","['American Intercontinental University', 'Florida International University']","['M.B.A', 'B.A']","['2005', '1997']","['N/A', 'N/A']","[None, None]","['Business Administrator', 'Accounting']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['Jul 2009', 'Jan 2007', 'Jan 2000', 'Jan 1998']","['Current', 'Jan 2009', 'Jan 2007', 'Jan 2000']","[['General ledger accounting', 'Compliance testing knowledge', 'Budget forecasting expertise', 'Account reconciliation'], ['General ledger accounting', 'Compliance testing knowledge', 'Budget forecasting expertise', 'Account reconciliation'], ['General ledger accounting', 'Compliance testing knowledge', 'Budget forecasting expertise', 'Account reconciliation'], ['General ledger accounting', 'Compliance testing knowledge', 'Budget forecasting expertise', 'Account reconciliation']]","['Project Accountant', 'Project Administrator Engineering', 'Project Administrator', 'Senior Staff Accountant']","['City, State', 'City, State', 'City, State', 'City, State']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,,,,,,,,,,,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.65
,,"['Administrative support', 'AP', 'Critical thinking', 'Doors', 'Engineer', 'Senior Management', 'Forms', 'Functional', 'Leadership', 'Machinery', 'Navy', 'Oil', 'Organizational', 'Pearl', 'Personnel', 'Personnel management', 'Pick', 'Problem solving', 'Progress', 'Project management', 'Proposals', 'Quality assurance', 'Repairs', 'Reporting', 'Requirement', 'Switches', 'Time management', 'Troubles', 'Technical review', 'Blueprint understanding', 'Project support', 'Document control', 'Engineering operational functions', 'SharePoint', 'Manufacturing systems integration', 'Team management']","['State of Ohio', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy']","['GED', 'A-651-0118, Engineering Common Core', 'A-651-0120, Engineering Mechanical', 'A-652-0298, Gas Turbine Mechanical/Electrical A School', 'A-651-0119, Engineering Electrical', 'A-652-0240, SHIPBD GAGE CAL', 'A-495-0018, SHIPBOARD FIREFIGHTING', 'A-652-0188, Waste Heat Boilers', 'A-012-0077, Class Facilitator Instructional Delivery Continuum', 'G-651-0613, MACHINERY CONTROL SYSTEM', 'J-500-0029, Marine Maintenance And Ship Repair 3-M System Coordinator/Inspector']","['09/2000', '02/2002', '03/2002', '05/2002', '08/2002', '08/2003', '09/2009', '02/2010', '01/2011', '02/2015', '02/2019']","[None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None]","['N/A', 'Engineering', 'Basic Propulsion Equipment', 'Gas Turbine Mechanical', 'Electrical', 'SHIPBD GAGE CAL', 'SHIPBOARD FIREFIGHTING', 'Waste Heat Boilers', 'Class Facilitator Instructional', 'MACHINERY CONTROL SYSTEM', 'Marine Maintenance And Ship Repair']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['01/2019', '06/2014', '10/2007']","['N/A', '12/2018', '11/2010']","[['Technical expertise', 'Problem solving', 'Management', 'Equipment repairs', 'Maintenance', 'Leadership', 'Time management', 'Engineering'], ['Project scheduling', 'Electrical installations', 'Leadership', 'Compliance', 'Training', 'Mentoring'], ['Support', 'Safety regulations', 'Permit acquisition', 'Scheduling', 'Training', 'Mentoring']]","['Engineering Assistant', 'Electrical Superintendent', 'Engineering Assistant']","['City, State', 'City, State', 'City, State']","Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,,,,,,,,,,,Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,,Age at least 22 years,"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support","Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",0.783333333
,"Machine Learning engineer who has worked on multiple projects with knowledge in big data handling and business analytics. As someone who is always learning, I would love to use my knowledge to provide the best solutions.","['Neural Networks', 'Python', 'Postgresql', 'Django', 'Microsoft Azure', 'Flask', 'Hive', 'Kafka', 'Business Analysis', 'Machine Learning', 'Deep Learning']","['SSGM, Maharashtra', 'International Institute of Information Technology (IIIT), Bangalore']","['B.Tech', 'MSc']","['2017', '2019']","[None, None]","[None, None]","['Electronics/Telecommunication', 'Data Science']",['Tata Consultancy Services'],[None],['Dec 2019'],['N/A'],"[['NLP', 'statistical approach', 'ML modeling', 'data extraction', 'feature generation', 'orchestration', 'deployments']]",['Machine Learning Engineer'],['N/A'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,,,,,,,,,,,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,0.716666667
,"To design, develop and manage products in the field of consumer electronics devices, networking protocols, internet applications and connected devices. Vision to create personalized experiences based on machine learning.","['Lead Development', 'build teams', 'mentor', 'interface with customers and vendors', 'architect end to end', 'Develop products in consumer electronics', 'digital TV', 'industrial automation', 'control systems', 'C', 'C++', 'JAVA', 'JVM', 'Embedded Linux', 'LXC', 'Device Drivers', 'Socs', 'RTOS - OS9', 'VXWorks', 'DVB', 'MPEG', 'H.264', 'HLS', 'MP4', 'JSON', 'REST', 'SOAP', 'XML', 'SNMP', 'TR069', 'Microcontrollers', 'hardware', 'Matlab', 'Octave', 'Mathematical modeling', 'Integrating content protection systems', 'Agile Methodologies', 'Scrum', 'SDLC', 'project planning and management', 'leadership']","['Indian Institute of Technology', 'Devi Ahilya University', 'Coursera - Stanford']","['M.Tech', 'B.E', 'Course']","['1988', '87', '2016']","['N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A']","['Control Systems', 'Electrical Engineering', 'Machine learning']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['November 2010', 'January 2004', 'April 2000']","['May 2016', 'November 2010', 'January 2004']","[['platform software development', 'middleware solution', 'JSON APIs'], ['consumer electronics', 'BD-J stack', 'OCAP middleware', 'embedded systems'], ['interactive TV', 'set-top boxes', 'Java based TVGuide', 'IPGateway']]","['Engineering Manager', 'Engineering Manager, Architect', 'Senior Software Engineer']","['City , State', 'City , State', 'City , State']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,,,,,,,,,,,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,Age at most 52 years,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws","AUDIT AND INSPECTION
Banking
Internal Audit",0.55
"139 Alder Drive, Mississaugua, Ontario, L5N 6P1","A Software Designer Internship with a client-driven corporation leading the field of wireless communication, where outstanding success in team projects, involving design and implementation of software, as well as proven ability to deliver high quality projects on-time will contribute to the implementation, testing and support of innovative wireless products.","['Object-oriented programming', 'manual testing', 'technical report writing', 'Windows XP/Vista', 'Unix', 'Linux', 'Administration of Windows 2000 Server', 'MIPS Assembler', 'Unix Shell Scripts', 'C', 'Java', 'JVS', 'VBS', 'PL/SQL', 'ASP', 'Digital Logic', 'Verilog Hardware Language', 'installation and configuration of peripherals', 'troubleshooting hardware', 'embedded systems', 'robotics', 'MS Office Suite', 'MS Visio', 'MS Project', 'SQL Navigator', 'Remedy', 'Eclipse']","['York University, Toronto']",['Honours Bachelor of Science'],['Expected Spring 2014'],[None],[None],['Computer Science'],"['Future Shop', 'York University']","[None, None]","['2011', '2012']","['Present', '2013']","[['customer service'], ['advising', 'presentation', 'critical reading']]","['Customer Service Representative', 'Academic Resource Advisor']","['Toronto', 'Toronto']","Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,,,,,,,,,,,"Full Stack Developer (Python,React js)",Bachelor/Honors,3 to 7 years,,"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,0.85
,,"['C', 'R', 'Catia', 'AutoCAD', 'ANSYS', 'Microsoft office', 'Product Project Management', 'GD&T', 'Minitab', 'Kanban', 'Kaizen', 'FMEA', 'development', 'Toyota production systems', 'APQP', 'PPAP', '8D', '5 why', ""KPI's"", 'Reliability SAE Standards', 'Vehicle ergonomics', 'DVP&R', 'QCC', 'CNC engineering', 'Programming', 'anatomy', 'benchmarking', 'lean manufacturing', 'manufacturing process', 'cost analysis', 'packaging', 'process engineering', 'Product Development', 'surveys', 'validation', 'welding']","['University of Michigan Dearborn', 'Visvesvaraya Technological University']","['Master of Science', 'Bachelor of Engineering']","['06/2013', None]","[None, None]","[None, None]","['Manufacturing Systems Engineering', 'Mechanical Engineering']","['Company Name', 'Company Name']","[None, None]","['07/2017', '06/2013']","['08/2017', '06/2016']","[[""Delphi's SPQVC"", 'APQP', 'PFMEA', 'lean manufacturing'], ['APQP', 'DVP&R', 'PPAP', 'DFMEA', 'Toyota standards', 'SQD', 'quality tools']]","['Engineering Assistant', 'Engineer']","['City , State', 'City , State']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,,,,,,,,,,,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.85
